title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Sensuous Nurse",movie,Comedy,1975,tt0074682,4.8,883,
"Gone Baby Gone",movie,"Crime, Drama, Mystery",2007,tt0452623,7.6,300252,
Obsession,movie,"Drama, Mystery, Thriller",1976,tt0074991,6.7,12550,
"The Jackal",movie,"Action, Crime, Drama",1997,tt0119395,6.4,128087,
"A Boy and His Dog",movie,"Comedy, Drama, Sci-Fi",1975,tt0072730,6.4,19989,
"The Curious Case of Benjamin Button",movie,"Drama, Fantasy, Romance",2008,tt0421715,7.8,716117,
Teorema,movie,"Drama, Mystery",1968,tt0063678,7,15874,
"Lisa and the Devil",movie,"Horror, Mystery",1973,tt0068863,6.2,5644,
"Baron Blood",movie,Horror,1972,tt0069048,5.9,4463,
"A Bay of Blood",movie,"Horror, Mystery, Thriller",1971,tt0067656,6.5,13511,
"Le Samouraï",movie,"Crime, Drama, Thriller",1967,tt0062229,8,61673,
"Donkey Skin",movie,"Comedy, Fantasy, Musical",1970,tt0066207,7,6869,
"Sky High",movie,"Action, Adventure, Drama",2002,tt0398563,6.1,1520,
Papillon,movie,"Biography, Crime, Drama",1973,tt0070511,8,141457,
"The Umbrellas of Cherbourg",movie,"Drama, Musical, Romance",1964,tt0058450,7.8,32830,
"The Family Man",movie,"Comedy, Drama, Fantasy",2000,tt0218967,6.8,125440,
"Coyote Ugly",movie,"Comedy, Drama, Music",2000,tt0200550,5.7,123803,
"I Am Legend",movie,"Drama, Horror, Sci-Fi",2007,tt0480249,7.2,841951,
"27 Dresses",movie,"Comedy, Romance",2008,tt0988595,6.1,179726,
"Dan in Real Life",movie,"Comedy, Drama, Romance",2007,tt0480242,6.8,108693,
"The Man Without a Past",movie,"Comedy, Drama, Romance",2002,tt0311519,7.6,27355,
Equilibrium,movie,"Action, Drama, Sci-Fi",2002,tt0238380,7.3,353555,
"Running Scared",movie,"Action, Crime, Drama",2006,tt0404390,7.3,104878,
Juno,movie,"Comedy, Drama",2007,tt0467406,7.4,559819,
"Sleeping with the Enemy",movie,"Drama, Thriller",1991,tt0102945,6.3,67857,
xXx,movie,"Action, Adventure, Drama",2002,tt0295701,5.8,189390,
"The Hitchhiker's Guide to the Galaxy",movie,"Adventure, Comedy, Sci-Fi",2005,tt0371724,6.7,211744,
"Speed Racer",movie,"Action, Adventure, Comedy",2008,tt0811080,6.1,80193,
Shooter,movie,"Action, Drama, Thriller",2007,tt0822854,7.1,364443,
"Ghost Train",movie,Horror,2006,tt0819839,4.9,930,
"Fun with Dick and Jane",movie,"Comedy, Crime",2005,tt0369441,6.2,157695,
Rambo,movie,"Action, Thriller",2008,tt0462499,7,249716,
"10,000 BC",movie,"Action, Adventure, Drama",2008,tt0443649,5.1,137152,
Shine,movie,"Biography, Drama, Music",1996,tt0117631,7.6,57628,
"Before the Devil Knows You're Dead",movie,"Crime, Drama, Thriller",2007,tt0292963,7.3,115689,
"The Match Factory Girl",movie,"Comedy, Crime, Drama",1990,tt0098532,7.5,12561,
"The Three Burials of Melquiades Estrada",movie,"Adventure, Crime, Drama",2005,tt0419294,7.3,42404,
"Band of Outsiders",movie,"Comedy, Crime, Drama",1964,tt0057869,7.6,27810,
"Napoleon Dynamite",movie,Comedy,2004,tt0374900,7,245233,
"Æon Flux",movie,"Action, Adventure, Sci-Fi",2005,tt0402022,5.4,134597,
"Drifting Clouds",movie,"Comedy, Drama",1996,tt0116752,7.6,9740,
Kika,movie,Comedy,1993,tt0107315,6.5,15503,
"Step Up 2: The Streets",movie,"Drama, Music, Romance",2008,tt1023481,6.2,92557,
